filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
001. Adele - Easy On Me.wav,0.29178557,0.090291165,0.26417318,0.005643143,2399.0419922515243,959758.9532427996,2740.493381184527,302307.20052225207,5613.374390026364,4446314.601422459,0.08464045568885449,0.003031082090201514,1.3103629e-06,0.055479847,-0.00015132422,0.009059867,143.5546875,-68.156395,2582.69,95.50848,1264.0425,22.976969,415.53232,5.335661,231.14153,7.9618406,136.10678,8.555018,107.153854,0.75066215,86.33277,8.14125,76.88817,-1.093866,128.06007,6.3388443,85.69525,-2.578045,81.46104,0.37257788,96.616325,-1.1017165,92.14394,-0.89881676,73.7766,5.269406,97.770226,-0.9316164,121.15131,-1.364965,104.19582,8.929507,105.45155,-6.244251,126.6404,6.592728,170.59547,pop
002. GAYLE - abcdefu.wav,0.39136115,0.08935788,0.2633452,0.009026167,2736.5163291008103,654675.1672188484,2663.2588738326376,142830.00425239495,5726.94870325803,2101217.64920519,0.12061340520994582,0.004253609383192729,-1.8022256e-05,0.04481189,-0.00020698598,0.014291666,123.046875,-14.420811,2614.2666,75.462234,745.848,2.4403808,535.2011,29.707376,203.90228,1.9830635,115.7117,10.668579,187.63393,5.5485883,106.338135,6.2422094,121.12814,4.4093604,71.58727,5.5819774,96.27944,-2.9751127,54.953228,4.8494663,46.044415,-4.5110364,60.582443,7.230603,56.500362,-5.1597576,67.93123,2.2269115,54.840103,-0.5886772,68.343796,-0.4262173,75.19522,-2.3102868,54.574116,4.362515,59.251392,pop
003. Walker Hayes - Fancy Like.wav,0.44142973,0.085342,0.2502611,0.0073201326,2684.5796533091743,850147.5800098367,2660.747926534139,155856.53318185892,5675.232349313081,2864103.3561018533,0.11882165489551083,0.006660326098573974,2.6214213e-05,0.032312557,-0.00034679708,0.020685937,80.74951171875,-18.17984,1715.3175,79.11443,881.7657,-4.455762,590.7439,14.696912,302.61697,8.435594,221.80324,3.4650009,171.26988,-11.15248,188.95963,4.647063,108.85146,-2.42359,104.77329,2.7507083,128.27626,-1.1007711,81.901405,2.2442167,69.8136,-4.478626,65.46276,-0.050917115,52.91773,0.9546541,59.807446,-0.39437398,71.08958,-3.816279,45.694733,-0.26881415,47.902374,-1.4659902,41.115692,-2.815903,39.619324,pop
004. Ed Sheeran - Shivers.wav,0.37336993,0.08875222,0.32191825,0.01351775,2838.3460629459246,1044285.8863045583,2863.6359651747225,206306.84106349733,6361.603198922456,3620214.9831865197,0.11865725679663312,0.005988385815589982,1.3970768e-05,0.06433905,0.00022655397,0.026185775,143.5546875,-11.904909,4064.0425,75.48185,1030.3865,16.485104,634.36926,21.446117,336.9828,9.212298,179.93585,2.2128422,153.41411,-1.8674262,98.49046,3.7655034,82.23001,-9.210445,75.56136,9.633438,87.69054,-0.78037375,64.06479,4.9345584,50.553886,-2.9504013,75.54224,2.0044534,56.88273,-3.7089348,64.10268,-0.74983114,53.5473,-3.6312928,44.938366,1.8504251,56.364574,-6.792536,58.03771,1.3412638,66.24643,pop
"005. The Kid Laroi, Justin Bieber - STAY.wav",0.37475818,0.09614177,0.3410591,0.01988101,2722.5394452167443,1015204.9503215451,2848.344095717773,177600.53164358635,6141.862860995549,3690950.5086306212,0.10652694465944272,0.0068109865691538,8.758001e-06,0.06421442,-0.00018128606,0.034812566,172.265625,-29.417503,3241.52,72.80378,882.0374,9.989895,293.98483,18.734106,442.20923,13.542064,281.95996,4.622903,275.25543,-0.86088234,181.87991,5.211775,116.08265,-2.5498765,116.499466,7.2160635,110.06118,-2.3787668,121.94161,1.7309582,81.54506,-1.291902,81.106,4.0214653,83.876114,1.6733966,69.5913,2.0272255,85.67768,-2.8155165,77.533066,3.0435107,80.53368,-7.759289,75.49603,0.8955183,79.67092,pop
006. Lauren Spencer-Smith - Fingers Crossed.wav,0.33610365,0.09011052,0.17316958,0.00449597,2157.0086440977393,1348272.9001118615,2478.126668944959,530076.4892178152,4709.721520958301,6565065.721151457,0.07972967661571208,0.004641986122118002,-4.4239914e-05,0.02097538,-0.0001738883,0.0056104213,112.34714673913044,-141.71942,6849.82,97.11035,2400.4106,24.955935,939.93286,26.254654,596.38293,8.043692,508.67355,3.1030388,355.00677,7.2301836,271.20642,-11.276171,371.69305,-0.09134242,197.28914,6.8513894,184.46376,-16.513592,151.09962,-0.27452338,140.85304,-8.645914,102.25533,2.941489,144.69078,-3.4169955,88.013885,2.5778506,108.178566,0.6413171,96.30872,0.25095528,74.1451,-1.7727572,85.56229,2.7374635,105.83139,pop
"007. Elton John, Dua Lipa - Cold Heart (PNAU Remix).wav",0.41459054,0.08410347,0.26947486,0.012969098,2460.9464331325357,1054021.1998921707,2820.47028606653,361247.3340492611,5663.749085417473,5059160.762097937,0.08273948456849846,0.002980616777253476,1.4209522e-05,0.03327618,1.852932e-05,0.029287519,117.45383522727273,-73.400024,4753.5996,88.282036,1116.8014,33.267868,1045.3081,20.022243,255.62737,8.98678,409.657,12.515077,160.88768,-0.06102873,221.03662,1.0010747,124.64672,-1.4013293,133.41354,5.20345,157.57652,-3.8269973,83.84745,3.839369,77.55225,-3.1731982,75.394,-0.94474995,66.55533,-5.4367104,53.982597,-0.20238559,58.77946,-7.477339,53.29095,-2.0926993,58.669464,-2.2182357,64.23324,-0.87028027,81.76843,pop
008. Glass Animals - Heat Waves.wav,0.35798484,0.09561708,0.32532853,0.018952059,1997.5678541350987,736168.5319811131,2512.3074406060973,259108.83491579685,4634.346976737858,4658357.322583609,0.06341798386706657,0.0019731858206235887,6.5176164e-06,0.07554255,-0.0007050449,0.024079448,161.4990234375,-76.21358,5760.859,99.61419,1021.9101,25.063454,942.8132,17.07674,470.15808,8.791259,418.1222,12.833398,293.77396,-4.827252,305.5982,13.301155,202.9055,-9.526676,181.925,3.3072135,153.15985,-5.2736793,162.70772,-2.8354414,129.81978,-2.0633812,79.62963,-1.70302,76.071434,-1.7443618,72.89501,-2.1975079,63.010002,-6.9365597,53.502613,2.0461357,68.00816,-7.161624,88.946205,0.53654766,117.300964,pop
009. Ed Sheeran - Bad Habits.wav,0.3837356,0.10230769,0.34990853,0.020419417,2456.488025828352,909206.8155158496,2633.97291777853,175184.20699131148,5421.442217280621,3280550.9776691506,0.09256406612809598,0.00437753791944095,1.1099966e-05,0.084284134,-0.00017783057,0.03391753,123.046875,-35.74957,4123.1724,79.63637,948.3514,6.9341674,626.348,17.917437,296.39374,5.7170873,190.37225,14.238472,164.12038,2.000045,160.47157,7.0079136,106.8446,-2.8899312,108.91358,9.13014,100.99638,1.8574468,88.59481,4.4870257,82.940704,-1.8183906,65.056046,5.665328,114.84786,-2.9764435,116.67053,2.1141098,93.66403,0.23491217,97.88385,4.9160967,91.63949,0.49546885,99.39372,7.528151,125.470276,pop
01. Sam Smith - Unholy.wav,0.44488072,0.094914116,0.2959461,0.015144267,2351.604235997256,791152.3874894208,2531.1083873290845,176111.4681438118,5098.9441673822075,2946874.489184613,0.08434416118421052,0.005152193482504503,1.376117e-05,0.0700019,2.9674253e-05,0.017115168,129.19921875,-67.21199,4284.653,73.18633,1413.4177,-2.313336,624.9061,26.549442,530.0494,-0.06701906,367.26083,6.2217984,374.23508,2.1423502,289.949,0.8744573,243.745,-2.3610735,218.31557,7.473598,246.11098,0.7611923,342.6728,5.11362,146.67403,2.653173,123.09646,3.6936164,110.889854,-2.5034,90.81526,4.8747406,92.375145,-3.120644,92.4423,4.2787695,107.37362,0.8464008,90.02686,4.0649014,88.169136,pop
