filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
001. Jeremiah Clarke - The Prince of Denmark's March (Trumpet Voluntary in D Major).wav,0.23303808,0.08120537,0.05893903,0.00031196213,1747.6749561266272,47361.47364708141,1681.08487707278,18415.419506797116,3138.006024906879,154025.05302141022,0.10896003652283281,0.0004617586353557841,5.0952436e-05,0.0034023437,0.00013652927,5.873659e-05,107.666015625,-208.59366,2146.5266,119.19004,256.40283,-44.487152,149.99059,27.128895,63.184826,-8.694355,51.64665,-2.0977235,47.05364,-15.590921,44.41359,-4.888783,40.974014,-13.454916,43.02657,2.3262322,98.93056,-5.98569,89.70855,2.1848686,95.29296,-5.89541,79.5913,-12.14578,114.2508,-11.976615,88.828255,-0.78459865,80.64808,-1.2385714,67.49953,-0.64816964,80.24433,-6.0119553,106.538506,-4.8570905,91.0172,classical
002. Johann Pachelbel - Canon in D Major.wav,0.27894047,0.08404914,0.04097426,0.00012439083,1223.9646042966187,29275.75381449549,1246.3963833062996,10343.788323907074,2330.019244025735,99139.24936675305,0.07567338973006967,0.0004729110825095963,-5.90555e-08,0.0015805188,-1.6331245e-05,3.0966035e-05,161.4990234375,-277.08856,571.8324,169.59424,170.28413,-50.72059,85.47241,35.744003,38.88718,-10.328128,39.649853,-9.296971,36.99924,-11.944815,50.13073,-8.816343,43.14259,-11.882348,45.115505,-9.642458,53.676773,-9.955456,65.64181,-4.5234075,64.603935,-5.275652,60.950115,-6.6129365,80.765114,-3.9088743,73.708084,-3.0619957,62.24868,-5.7873898,61.28732,-6.646952,47.870964,-5.0761285,68.31138,-5.6687517,65.85904,classical
003. Württemberg Chamber Orchestra - Adagio in G Minor.wav,0.23855464,0.08707796,0.049646832,0.0006666377,1440.6537212912074,319823.69821920316,1462.791376847469,142007.3837945265,2598.5092871698434,1465937.6509503364,0.08877270583397832,0.0010807325274189553,-8.118217e-07,0.0029546984,-5.142191e-06,2.8560733e-05,151.99908088235293,-287.3584,10095.037,126.50413,1066.9291,-15.674722,1225.0105,21.538813,448.63303,-14.246393,86.462234,-1.5254508,40.103474,-2.9321587,129.04315,-2.8053603,43.80363,-11.657203,53.880096,-12.172625,143.85393,-16.23701,139.48021,-2.9485147,111.717964,-1.7906464,191.78415,-2.3888063,120.22065,-6.83463,53.790466,-5.0941,107.31349,-3.81511,94.06023,1.596479,91.35404,0.99461037,124.4442,4.728766,197.33223,classical
004. Carl Orff - Carmina Burana.wav,0.36421725,0.08150265,0.039745443,0.00017218117,928.5749436197251,112297.43510429586,1471.6256927612962,216613.23721204879,1665.8149270450367,1277227.4131672175,0.037269615905572755,0.00010480025502719453,-2.5775535e-07,0.0010806635,-1.6886635e-05,0.00017964595,129.19921875,-313.8452,2555.8835,174.06381,694.0028,14.445441,647.5188,22.46814,165.84961,-0.975729,121.14443,-4.2580905,94.20313,1.6851735,56.513084,-4.095509,32.212418,-15.533999,48.73769,-0.30176097,31.338861,-9.952493,38.415127,-4.735303,26.961357,-8.609771,26.835958,-6.1842666,26.485067,-6.6342564,21.627201,-5.4238358,27.13074,-7.3599524,23.175043,-2.367382,27.07232,-7.8440533,32.35622,-6.7875314,27.771664,classical
005. Charles Gounod - Ave Maria.wav,0.31533855,0.089802966,0.029086016,8.645387e-05,1411.8425879681445,337556.62016073876,1778.814301148736,199617.1045352408,3037.3982999346945,1900643.7321208185,0.06928000435371517,0.0017634344260463088,8.3804827e-07,0.00081278273,5.6346584e-05,2.2152342e-05,117.45383522727273,-345.20078,2102.7957,133.0975,681.80505,12.101387,662.5889,66.30169,290.94287,9.18611,521.701,0.09586223,195.9376,15.084997,152.40417,5.2198467,136.28406,-19.962425,183.86821,12.378302,102.997604,-3.0228188,72.20879,-12.068053,159.73318,1.1198721,166.53337,6.9269905,310.5611,-6.519073,155.48877,3.9648242,156.0272,-2.9627483,128.81738,1.4562542,197.74702,2.260305,146.41934,-3.098357,166.62811,classical
"006. Antonio Vivaldi - The four seasons, Spring, Op. 8_1.wav",0.28093028,0.083302215,0.050442774,0.0005813358,1854.5879462493278,214260.55043239056,1956.374389676202,55903.21354155591,3488.370572967057,677334.5620180399,0.10748498875290248,0.0021734432196260397,0.0010536987,0.0024637608,0.00077265175,0.00015008262,112.34714673913044,-214.9421,3342.4624,111.48979,746.00244,-22.975952,237.33618,26.218754,97.73239,0.8814173,72.54569,-1.436995,46.46897,-6.846296,54.296947,8.55107,105.09613,-1.573365,69.13437,2.0286875,89.776665,-6.7072883,116.7821,-1.2495769,99.62705,-5.9246817,112.03398,-0.10309688,99.56789,0.6578094,53.68842,4.3962426,44.196228,-1.4047881,42.407024,1.8972404,72.951355,-3.9603329,85.11747,-1.4393331,84.02336,classical
"007. Slovak Philharmonic Chamber Orchestra - Water Music, Suite.wav",0.27583927,0.0829891,0.03307491,0.0003188985,1494.5864117132392,118611.10586432838,1557.6967835260552,98296.9155718603,2840.5078238378,583023.5442597982,0.0884809464493034,0.0006523987781616544,1.4333857e-05,0.0011573485,5.6214187e-05,4.729807e-05,112.34714673913044,-285.44,4600.094,141.0923,574.4633,-33.251694,144.54884,23.682144,116.73237,-11.961984,100.4902,-0.8542214,39.28957,-8.755097,65.51334,-8.930297,102.64848,-9.543663,89.007675,-6.0993624,85.029724,-9.867638,81.07018,-5.2233086,66.33146,-6.3730674,71.3231,0.012504648,114.10954,-0.77166945,119.999504,0.10055863,65.69552,-1.3689474,62.73383,-0.51075274,70.365974,-7.8215795,99.5797,-7.304299,150.71661,classical
"008. Slovak Philharmonic Chamber Orchestra - Music for the Royal Fireworks, Suite for Orchestra, HWV 351.wav",0.22865868,0.08457657,0.03345174,0.00023143552,1113.2135276465158,22149.94871112975,1041.4021999111872,12572.632423249526,1751.4477425684502,74939.56335146347,0.07770096628289473,0.0003779970882807995,3.3432632e-05,0.0011135729,3.0973177e-05,4.9656966e-05,112.34714673913044,-341.18784,1873.0417,174.29816,117.66307,-45.197845,429.86707,-5.6074576,94.324875,-22.096153,107.65484,-15.012488,72.37382,-19.026785,54.116814,-31.087368,40.77751,-22.067966,55.802643,-12.613575,68.06903,-1.7030052,73.78447,-12.942696,99.53152,-11.21572,68.64288,-3.112479,80.374626,-4.939825,90.82939,-1.661202,67.386185,1.72079,42.208263,5.1311946,55.097874,4.0146265,90.446495,-1.5655187,79.42038,classical
"009. Franz Schubert - Quintet in A Major, Op. 114 _The Trout_.wav",0.26229075,0.083200164,0.09317747,0.001753158,1256.6183278784456,102993.68306419857,1318.7136176961726,111077.81258242499,2282.2695327617066,530227.2745014802,0.0814662496371904,0.0005847763912761109,-2.3188703e-07,0.0076732244,-5.4367354e-07,0.00062926975,95.703125,-196.15146,5227.5806,174.04414,1162.5148,-40.624355,260.12665,22.830576,139.82263,-5.3290014,93.6527,-1.6412437,73.4587,-5.0684385,60.851883,-3.934986,65.37668,0.3863994,95.25946,-3.4123747,86.66613,-5.4265504,88.457504,-5.4250374,99.99928,-1.7774084,83.292046,-0.046363477,69.59487,-2.5490942,68.307884,3.1155477,53.272156,1.1653818,59.362125,2.4455736,61.46961,0.56161904,80.29646,2.9419086,76.4684,classical
01  Albinoni - Adagio in G minor (attrib. to Albinoni).flac,0.30038854,0.08968948,0.08305133,0.00036907743,1002.35308926683,139069.66422312678,1385.969036445035,117478.25042652887,1977.4963756832915,860530.3092698782,0.052336040296052634,0.0007380572188186086,-3.7878604e-06,0.0068168268,-1.7408875e-05,4.5335673e-05,107.666015625,-257.83444,4573.081,159.9605,351.9948,1.7596693,762.40894,36.75064,128.82661,11.178386,289.54996,9.206235,84.809326,0.9673796,105.26593,3.6197302,67.21034,7.982467,62.45634,6.9796405,74.80063,6.447998,75.87543,0.36639008,91.97043,-1.1179925,74.9021,4.188842,75.53718,0.91555446,75.61883,2.3990533,64.54423,0.78893214,60.672062,-0.545286,89.70993,0.6327035,144.34433,2.2371056,122.57931,classical
