,Unnamed: 0.1,Unnamed: 0,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,0,0,001. The Dave Brubeck Quartet - Take Five.mp3,0.46022493,0.08812752,0.04374702,0.00063212164,1290.119864240056,510513.8653985015,1855.3092435035608,229236.38075494565,2576.734418839493,2990354.73396984,0.0403346011513157,0.0012536197779367,-1.4009858e-06,0.0012752605,-2.1544023e-05,0.0005893722,123.046875,-287.4182,9324.31,138.74011,1156.2778,13.315756,361.0262,25.474972,126.76484,7.8144197,111.15346,13.798518,37.567787,2.0947871,49.719933,3.7130024,37.38285,2.078698,39.96964,2.1545193,25.41195,2.2335124,22.125513,3.1570852,21.036173,1.7006346,21.891539,1.3451208,22.111122,-5.3583193,24.749777,-2.5802326,22.728052,-3.3490667,21.971073,-0.012915904,21.79562,-1.050301,37.425163,-0.8014714,17.699001,jazz
1,1,1,002. Miles Davis - So What.mp3,0.28479552,0.09119197,0.06409651,0.00070351065,2603.5762971674344,151717.51993400432,2656.545253797361,90906.0255340644,5575.191287581028,843038.3241471329,0.1012015800357972,0.0021150527536125,-1.442776e-06,0.00389974,-1.4012287e-05,0.00030728147,143.5546875,-194.02026,2188.6982,62.403564,520.66266,2.3304546,426.43942,28.769175,101.693924,4.8174763,85.09228,5.785859,67.79076,-0.40289837,98.27527,4.494938,75.712,-0.18307911,57.842335,6.8944783,59.389862,3.4103608,44.38346,5.9552817,54.206306,0.6628872,77.76564,11.372684,78.1476,4.528797,91.73139,1.9814215,100.90329,-0.93358326,160.11856,0.3296885,139.76605,-2.7213995,132.99434,0.7207038,140.34636,jazz
2,2,2,003. Thelonious Monk - Round Midnight.mp3,0.25359312,0.08960765,0.1663327,0.004161631,860.1919759241805,79120.0675602627,1022.0107732409098,89374.15427314608,1553.8572707043345,522918.1198411084,0.0535635461010061,0.0006278528657014,-9.057084e-07,0.023512442,-3.4581604e-05,0.0029189012,63.02400914634146,-215.21796,3445.3765,189.06848,831.7202,-6.301981,467.82013,13.943547,489.38544,1.7060499,254.61871,11.468018,237.60754,5.3411613,113.92849,-10.059111,90.52147,-6.522183,73.36204,-3.6234105,90.3423,-2.395595,114.82286,-1.5425034,108.96949,-4.0888066,89.56272,-6.4303937,69.95054,-6.9351115,103.07844,-5.333035,78.71084,-2.3493912,63.212242,-5.9953914,81.76474,-6.6868773,111.215294,-5.352896,152.34465,jazz
3,3,3,004. Sonny Rollins - St. Thomas.mp3,0.498279,0.07086396,0.11206455,0.0014508017,3118.107452607924,914406.663327246,2820.1368049820285,90424.00489304312,6467.660890939435,1649291.5527478245,0.1498033269640092,0.0071853352903155,2.745498e-06,0.0063232076,-3.1326663e-06,0.0031997764,151.99908088235293,-89.13796,2636.474,62.45138,1030.2811,21.73421,229.31523,33.39117,50.39206,-7.9334593,36.013496,13.073687,20.204023,-9.660084,26.150627,1.7419292,23.661573,-9.7598295,25.426138,2.3124921,25.682318,-4.404724,26.866907,-2.255041,25.640356,-11.842189,32.342022,-2.516088,33.135895,-7.586745,28.89974,-8.761749,19.304537,-9.066266,18.99239,-5.1592145,16.096176,-11.748119,16.058517,-5.0433383,14.783965,jazz
4,4,4,005. John Coltrane - Blue Train.mp3,0.3365473,0.09350874,0.13423689,0.0025890146,2399.340448605597,349862.214715522,2872.445222688095,192220.8000842681,5692.598910966525,3702587.851780241,0.0791344421197755,0.001011047042494,1.8133442e-06,0.014186759,-1.624833e-05,0.0023535406,69.83741554054055,-121.03863,3574.3645,90.64749,543.6516,23.983206,836.07587,2.8858886,251.918,5.9641943,79.29811,0.23028743,45.216087,-3.7654889,49.18831,-1.6064128,31.765673,-5.006975,26.272085,0.57817554,25.634922,-3.9303806,26.350798,-1.176206,33.59896,-3.876397,43.232784,-2.5604506,39.940277,-5.6031575,37.636986,-1.8104671,51.533512,-5.730791,41.947067,-0.6563212,42.899532,-5.1243544,63.75059,-4.587613,77.0902,jazz
5,5,5,006. Stan Getz - The Girl From Ipanema.mp3,0.31871733,0.10172834,0.13677435,0.004618481,2018.1616120157664,648273.6573475836,2591.301986980865,248812.85316887,4783.054410857682,4169594.4141913606,0.0579542980843653,0.0017834577326048,1.6130771e-06,0.019399112,-4.6390276e-05,0.0012181615,129.19921875,-176.67055,4235.421,87.92578,893.54926,38.472504,602.686,37.29427,124.9887,6.111886,113.90018,15.893367,86.875534,2.583023,78.431046,3.2652304,64.56171,-4.735483,67.578064,-4.0013394,56.908764,-1.1504818,38.10727,7.3519335,38.037,-4.6772084,46.180656,2.66033,45.57972,-2.3689356,45.018826,-2.0948746,52.36501,0.004803212,66.185684,0.5852365,60.3069,-9.984387,56.742588,-2.9875968,33.74263,jazz
6,6,6,007. Nina Simone - Feeling Good.mp3,0.29293272,0.08970071,0.110808745,0.0020793094,1968.4698459800484,549269.9685970746,2099.555357950522,134875.32813082298,3962.142708131773,1989234.6060015685,0.0870996244920665,0.0030851682282082,-8.7119554e-07,0.009292227,-1.0093316e-06,0.0017685938,75.99954044117646,-136.37631,2413.93,108.179375,1157.2651,-13.911015,337.8903,23.286695,213.82198,-6.369198,174.41997,4.8414907,91.57902,-11.292828,121.62105,-3.8307252,85.904144,-4.3883266,97.33912,-3.7746797,84.585884,-9.87591,77.893974,-2.3771987,75.24914,-6.5087256,84.77704,-5.3848147,73.97493,-6.418408,73.2042,4.6812387,49.72579,-6.625974,70.081245,0.18506166,72.443054,-3.3746917,72.56124,1.1854439,85.70118,jazz
7,7,7,008. Art Blakey - Moanin'.mp3,0.3182661,0.08810431,0.19020593,0.00354447,2626.1953001055526,165272.40499941423,2607.997995820458,107499.31625978566,5495.558435776655,1402961.707010918,0.1261670375386996,0.001772714361168,-5.2749233e-06,0.022675607,-3.6029673e-05,0.0072574383,129.19921875,-46.11326,1793.171,76.73191,269.10822,-8.360333,418.36047,15.852505,103.827446,3.2584488,63.69526,0.5986492,51.20828,-4.169076,54.372425,-6.180083,63.8768,-9.521777,46.98759,1.383904,45.065773,-3.157552,39.011017,6.589952,72.03273,-0.74202895,64.08367,1.1477245,44.14727,-6.3677597,61.25588,-4.429154,57.11299,-3.2143078,62.15821,1.7813181,81.40602,-6.2134833,85.90014,-1.2091823,98.12741,jazz
8,8,8,009. Peggy Lee - Fever.mp3,0.35590798,0.11231858,0.13795371,0.0043297126,1795.0608128535664,1292241.2836940533,2308.9235570940978,491474.63740454,3906.068047207576,7319565.988001309,0.0454128017366486,0.0018844713297558,6.7659353e-06,0.019014576,4.008927e-06,0.0015954527,67.99958881578948,-224.84808,9270.92,89.859344,1761.7523,23.494905,561.4457,46.769917,363.43207,29.552046,232.4235,11.236075,192.07259,2.0344794,99.46851,15.409808,75.731155,6.774789,161.25113,10.482869,105.14732,-4.035292,100.32726,5.8834167,55.03313,-4.3793454,62.903957,2.4787843,46.24207,3.1755953,57.22311,0.91208786,79.884346,-3.5826612,89.29102,1.3299147,52.87604,-8.535922,98.32578,1.3850205,56.25531,jazz
9,9,9,01. The Platters - Only You (And You Alone).mp3,0.3016569,0.09084497,0.25920814,0.0069611464,1967.6650814233824,495228.062542996,2050.9032567270724,244458.1064656582,4098.958547491777,2418260.066636017,0.0851344058388157,0.001734618788941,0.00019582234,0.0554578,0.001008811,0.0064523993,80.74951171875,-61.927303,3962.0046,114.742744,1428.6677,-17.024317,420.43652,35.907562,341.28253,-9.517471,399.07727,5.6525025,203.4511,-4.1700087,151.18718,8.887662,157.64009,-12.8211155,205.59027,-5.3969665,165.79779,2.7977636,102.67582,-5.4586043,84.192924,-1.1655732,89.7313,6.105652,62.45109,-8.731649,80.089226,-2.175423,69.51195,-6.3706713,69.09059,-4.172457,91.346695,-6.1693425,99.77583,1.0259953,135.27376,jazz
